year,state_district,party,party_incumbent,candidate_incumbent,candidate_incumbent_vote
2010,California43,democrat,democrat,1,0.6914371115979332
2010,California44,republican,republican,1,0.5119116563643742
2010,California45,republican,republican,1,0.5829100799422973
2010,California46,republican,republican,1,0.5251667677380231
2010,California47,democrat,democrat,1,0.6948957793889177
2010,California48,republican,republican,1,0.5560637767167042
2010,California49,republican,republican,1,0.582955914738023
2010,California5,democrat,democrat,1,0.7426556035359816
2010,California50,republican,republican,1,0.5023955190078532
2010,California51,democrat,democrat,1,0.727491720838955
2010,California52,republican,republican,0,0
2010,California53,democrat,democrat,1,0.6848672423601736
2010,California6,democrat,democrat,1,0.7169139910476273
2010,California7,democrat,democrat,1,0.7282012837932812
2010,California8,democrat,democrat,1,0.7186613706717336
2010,California9,democrat,democrat,1,0.8606448126801153
2010,Colorado1,democrat,democrat,1,0.7193570253419289
2010,Colorado2,democrat,democrat,1,0.6259974910269366
2010,Colorado3,republican,democrat,0,0
2010,Colorado4,republican,democrat,0,0
2010,Colorado5,republican,republican,1,0.6003041207044589
2010,Colorado6,republican,republican,1,0.6066923649870863
2010,Colorado7,democrat,democrat,1,0.634817107443446
2010,Connecticut1,democrat,democrat,1,0.6580558064941788
2010,Connecticut2,democrat,democrat,0,0
2010,Connecticut3,democrat,democrat,1,0.6885777891366925
2010,Connecticut4,democrat,democrat,0,0
2010,Connecticut5,democrat,democrat,1,0.5325434402640613
2010,Delaware0,democrat,republican,0,0
2010,Florida1,republican,republican,1,0.7018403167590145
2010,Florida10,republican,republican,1,0.606802337162207
2010,Florida11,democrat,democrat,1,0.7165581420692715
2010,Florida12,republican,republican,0,0
2010,Florida13,republican,republican,1,0.5553919064337656
2010,Florida14,republican,republican,1,0.5943565737209936
2010,Florida15,republican,republican,1,0.5309930886973535
2010,Florida16,republican,republican,0,0
2010,Florida17,democrat,democrat,0,0
2010,Florida18,republican,republican,1,0.5786969780525044
2010,Florida19,democrat,democrat,0,0
2010,Florida2,republican,democrat,0,0
2010,Florida20,democrat,democrat,1,0.7747623176559116
2010,Florida21,republican,republican,0,0
2010,Florida22,republican,democrat,0,0
2010,Florida23,democrat,democrat,1,0.8218262912137552
2010,Florida24,republican,democrat,0,0
2010,Florida25,republican,republican,0,0
2010,Florida3,democrat,democrat,1,1.0
2010,Florida4,republican,republican,1,0.652546863808154
2010,Florida5,republican,republican,0,0
2010,Florida6,republican,republican,1,0.6088751510173167
2010,Florida7,republican,republican,1,0.6200336092547525
2010,Florida8,republican,democrat,0,0
2010,Florida9,republican,republican,1,0.621712622496254
2010,Georgia1,republican,republican,1,0.6653324456351721
2010,Georgia10,republican,republican,1,0.6072736491231676
2010,Georgia11,republican,republican,1,0.6818597937868774
2010,Georgia12,democrat,democrat,1,0.6600036096015401
2010,Georgia13,democrat,democrat,1,0.690449605853024
2010,Georgia2,democrat,democrat,0,0
2010,Georgia3,republican,republican,1,0.6569414443341701
2010,Georgia4,democrat,democrat,0,0
2010,Georgia5,democrat,democrat,1,0.9995420651995472
2010,Georgia6,republican,republican,1,0.6848265601012805
2010,Georgia7,republican,republican,0,0
2010,Georgia8,republican,democrat,0,0
2010,Georgia9,republican,republican,0,0
2010,Hawaii1,democrat,democrat,0,0
2010,Hawaii2,democrat,democrat,1,0.6975045238395825
2010,Idaho1,republican,democrat,0,0
2010,Idaho2,republican,republican,1,0.7089231638457006
2010,Illinois1,democrat,democrat,1,0.8586535591771464
2010,Illinois10,republican,republican,0,0
2010,Illinois11,republican,democrat,0,0
2010,Illinois12,democrat,democrat,1,0.7139656785643619
2010,Illinois13,republican,republican,1,0.5355344301316572
2010,Illinois14,republican,democrat,0,0
2010,Illinois15,republican,republican,1,0.6418936997880034
2010,Illinois16,republican,republican,1,0.60867016847095
2010,Illinois17,republican,democrat,0,0
2010,Illinois18,republican,republican,1,0.5888296225587575
2010,Illinois19,republican,republican,1,0.6446168909562754
2010,Illinois2,democrat,democrat,0,0
2010,Illinois3,democrat,democrat,1,0.7327533499770724
2010,Illinois4,democrat,democrat,1,0.806047018036474
2010,Illinois5,democrat,democrat,0,0
2010,Illinois6,republican,republican,1,0.5757046159594882
2010,Illinois7,democrat,democrat,1,0.8501753866272664
2010,Illinois8,republican,democrat,0,0
2010,Illinois9,democrat,democrat,0,0
2010,Indiana1,democrat,democrat,1,0.7090014254207119
2010,Indiana2,democrat,democrat,1,0.6709099110064222
2010,Indiana3,republican,republican,0,0
2010,Indiana4,republican,republican,0,0
2010,Indiana5,republican,republican,1,0.6554870385575683
2010,Indiana6,republican,republican,1,0.6395195671572029
2010,Indiana7,democrat,democrat,0,0
2010,Indiana8,republican,democrat,0,0
2010,Indiana9,republican,democrat,0,0
2010,Iowa1,democrat,democrat,1,0.6460664063849636
2010,Iowa2,democrat,democrat,1,0.5724263877136986
2010,Iowa3,democrat,democrat,1,0.5640369979498723
2010,Iowa4,republican,republican,1,0.605668116680383
2010,Iowa5,republican,republican,1,0.5983778529258323
2010,Kansas1,republican,republican,0,0
2010,Kansas2,republican,republican,0,0
2010,Kansas3,republican,democrat,0,0
2010,Kansas4,republican,republican,0,0
2010,Kentucky1,republican,republican,1,0.6434826905985129
2010,Kentucky2,republican,republican,0,0
2010,Kentucky3,democrat,democrat,1,0.593654075778315
2010,Kentucky4,republican,republican,1,0.6303374547238028
2010,Kentucky5,republican,republican,1,0.8410969838645305
2010,Kentucky6,democrat,democrat,1,0.6465783678468754
2010,Louisiana1,republican,republican,1,0.6568173690222807
2010,Louisiana2,democrat,republican,0,0
2010,Louisiana3,republican,democrat,0,0
2010,Louisiana4,republican,republican,1,0.48071771161906407
2010,Louisiana5,republican,republican,1,1.0
2010,Louisiana6,republican,republican,0,0
2010,Louisiana7,republican,republican,0,0
2010,Maine1,democrat,democrat,1,0.5489896117834574
2010,Maine2,democrat,democrat,1,0.6743537321706373
2010,Maryland1,republican,democrat,0,0
2010,Maryland2,democrat,democrat,1,0.7186184784300101
2010,Maryland3,democrat,democrat,1,0.696571698216435
2010,Maryland4,democrat,democrat,1,0.8582528008068181
2010,Maryland5,democrat,democrat,1,0.736468315099611
2010,Maryland6,republican,republican,1,0.5776271801775908
2010,Maryland7,democrat,democrat,1,0.7949758758128802
2010,Maryland8,democrat,democrat,1,0.7507499656878444
2010,Massachusetts1,democrat,democrat,1,0.6966542534809135
2010,Massachusetts10,democrat,democrat,0,0
2010,Massachusetts2,democrat,democrat,1,0.7638648067270712
2010,Massachusetts3,democrat,democrat,1,0.750437663814846
2010,Massachusetts4,democrat,democrat,1,0.6430476287001083
2010,Massachusetts5,democrat,democrat,1,0.7471866453701591
2010,Massachusetts6,democrat,democrat,1,0.6678593992642847
2010,Massachusetts7,democrat,democrat,1,0.704837156800903
2010,Massachusetts8,democrat,democrat,1,0.7603283431620447
2010,Massachusetts9,democrat,democrat,1,0.7629197908134333
2010,Michigan1,republican,democrat,0,0
2010,Michigan10,republican,republican,1,0.6630293754656893
2010,Michigan11,republican,republican,1,0.5141084992844355
2010,Michigan12,democrat,democrat,1,0.7206605537484312
2010,Michigan13,democrat,democrat,0,0
2010,Michigan14,democrat,democrat,0,0
2010,Michigan15,democrat,democrat,1,0.70703145256492
2010,Michigan2,republican,republican,0,0
2010,Michigan3,republican,republican,0,0
2010,Michigan4,republican,republican,1,0.6194096384080736
2010,Michigan5,democrat,democrat,1,0.7035982175423017
2010,Michigan6,republican,republican,1,0.5886418100023151
2010,Michigan7,republican,democrat,0,0
2010,Michigan8,republican,republican,1,0.5652766677636218
2010,Michigan9,democrat,democrat,0,0
2010,Minnesota1,democrat,democratic-farmer-labor,1,0.6250090252707581
2010,Minnesota2,republican,republican,1,0.5728524903022383
2010,Minnesota3,republican,republican,1,0.484773939052408
2010,Minnesota4,democrat,democratic-farmer-labor,1,0.6843502585295774
2010,Minnesota5,democrat,democratic-farmer-labor,1,0.7088400511856036
2010,Minnesota6,republican,republican,1,0.46406078201247764
2010,Minnesota7,democrat,democratic-farmer-labor,1,0.721961993135884
2010,Minnesota8,republican,democratic-farmer-labor,0,0
2010,Mississippi1,republican,democrat,0,0
2010,Mississippi2,democrat,democrat,1,0.6905024488817344
2010,Mississippi3,republican,republican,1,0.6253751441169482
2010,Mississippi4,republican,democrat,0,0
2010,Missouri1,democrat,democrat,1,0.8685641853786742
2010,Missouri2,republican,republican,1,0.6227706101262294
2010,Missouri3,democrat,democrat,1,0.6636815692084793
2010,Missouri4,republican,democrat,0,0
2010,Missouri5,democrat,democrat,1,0.6437315405577403
2010,Missouri6,republican,republican,1,0.594274551782739
2010,Missouri7,republican,republican,0,0
2010,Missouri8,republican,republican,1,0.7143606623354223
2010,Missouri9,republican,republican,1,0.49994877287756717
2010,Montana0,republican,republican,0,0
2010,Nebraska1,republican,republican,1,0.7036108363138269
2010,Nebraska2,republican,republican,1,0.5192656738612259
2010,Nebraska3,republican,republican,1,0.7687402394586154
2010,Nevada1,democrat,democrat,1,0.6764749565354138
2010,Nevada2,republican,republican,1,0.5182416848749697
2010,Nevada3,republican,democrat,0,0
2010,New Hampshire1,republican,democrat,0,0
2010,New Hampshire2,republican,democrat,0,0
2010,New Jersey1,democrat,democrat,1,0.7239976574308188
2010,New Jersey10,democrat,democrat,1,0.9892428678700529
2010,New Jersey11,republican,republican,1,0.6184421579750401
2010,New Jersey12,democrat,democrat,1,0.6311845543341565
2010,New Jersey13,democrat,democrat,1,0.7535507940382966
2010,New Jersey2,republican,republican,1,0.5905692602961633
2010,New Jersey3,republican,democrat,0,0
2010,New Jersey4,republican,republican,1,0.6621149498778344
2010,New Jersey5,republican,republican,1,0.5587349153902662
2010,New Jersey6,democrat,democrat,0,0
2010,New Jersey7,republican,republican,1,0.5021885613000122
2010,New Jersey8,democrat,democrat,0,0
2010,New Jersey9,democrat,democrat,1,0.675266319762378
2010,New Mexico1,democrat,democrat,0,0
2010,New Mexico2,republican,democrat,0,0
2010,New Mexico3,democrat,democrat,0,0
2010,New York1,democrat,democrat,1,0.43518592440200204
2010,New York10,democrat,democrat,1,0.6779564698528158
2010,New York11,democrat,democrat,1,0.6850355862642216
2010,New York12,democrat,democrat,0,0
2010,New York13,democrat,democrat,1,0.4789023153173996
2010,New York14,democrat,democrat,1,0.6425023307306841
2010,New York15,democrat,democrat,1,0.6949449133011637
2010,New York16,democrat,democrat,0,0
2010,New York17,democrat,democrat,1,0.6140175989169897
2010,New York18,democrat,democrat,1,0.5541373647476393
2010,New York19,democrat,democrat,1,0.4404636360799975
2010,New York2,democrat,democrat,1,0.48714525338438863
2010,New York20,republican,democrat,0,0
2010,New York21,democrat,democrat,0,0
2010,New York22,democrat,democrat,1,0.5075387277578232
2010,New York23,democrat,republican,0,0
2010,New York24,democrat,democrat,1,0.43012753709493323
2010,New York25,democrat,democrat,1,0.46027065615494445
2010,New York26,republican,republican,0,0
2010,New York27,democrat,democrat,0,0
2010,New York28,democrat,democrat,1,0.5715940813646846
2010,New York29,republican,democrat,0,0
2010,New York3,republican,republican,1,0.46620902362199806
2010,New York4,democrat,democrat,1,0.5081618168914124
2010,New York5,democrat,democrat,1,0.514346254033669
2010,New York6,democrat,democrat,1,0.6712117754450023
2010,New York7,democrat,democrat,1,0.6028846306413993
2010,New York8,democrat,democrat,1,0.6008371670582661
2010,New York9,democrat,democrat,1,0.5224651597971143
2010,North Carolina1,democrat,democrat,1,0.7028267662275632
2010,North Carolina10,republican,republican,1,0.5755093425535978
2010,North Carolina11,democrat,democrat,1,0.6196128153652896
2010,North Carolina12,democrat,democrat,1,0.7155858704370248
2010,North Carolina13,democrat,democrat,1,0.6593330990403917
2010,North Carolina2,republican,democrat,0,0
2010,North Carolina3,republican,republican,1,0.6589968959320373
2010,North Carolina4,democrat,democrat,1,0.6331957741042369
2010,North Carolina5,republican,republican,1,0.5836848432199631
2010,North Carolina6,republican,republican,1,0.6699728092006147
2010,North Carolina7,democrat,democrat,1,0.6884435281520193
2010,North Carolina8,democrat,democrat,1,0.5538212734172131
2010,North Carolina9,republican,republican,1,0.6237091929011108
2010,North Dakota0,republican,democrat,0,0
2010,Ohio1,republican,democrat,0,0
2010,Ohio10,democrat,democrat,1,0.5702061934164585
2010,Ohio11,democrat,democrat,1,0.8522292840483766
2010,Ohio12,republican,republican,1,0.5478734031099814
2010,Ohio13,democrat,democrat,1,0.6469799785004031
2010,Ohio14,republican,republican,1,0.5831696126084037
2010,Ohio15,republican,democrat,0,0
2010,Ohio16,republican,democrat,0,0
2010,Ohio17,democrat,democrat,1,0.7814588450334152
2010,Ohio18,republican,democrat,0,0
2010,Ohio2,republican,republican,1,0.4483119436470219
2010,Ohio3,republican,republican,1,0.6331962805996584
2010,Ohio4,republican,republican,1,0.6516787850994038
2010,Ohio5,republican,republican,1,0.6409099390998999
2010,Ohio6,republican,democrat,0,0
2010,Ohio7,republican,republican,1,0.5821534836352018
2010,Ohio8,republican,republican,1,0.6790367405645001
2010,Ohio9,democrat,democrat,1,0.7437350535559977
2010,Oklahoma1,republican,republican,1,0.6616762574667971
2010,Oklahoma2,democrat,democrat,1,0.7046907191408595
2010,Oklahoma3,republican,republican,1,0.6971807277225288
2010,Oklahoma4,republican,republican,1,0.6601632811669434
2010,Oklahoma5,republican,republican,0,0
2010,Oregon1,democrat,democrat,1,0.7150291348631143
2010,Oregon2,republican,republican,1,0.6949899964451391
2010,Oregon3,democrat,democrat,1,0.7454216535409984
2010,Oregon4,democrat,democrat,1,0.8234214983869327
2010,Oregon5,democrat,democrat,1,0.5425488684510897
2010,Pennsylvania1,democrat,democrat,1,0.9076157046573438
2010,Pennsylvania10,republican,democrat,0,0
2010,Pennsylvania11,republican,democrat,0,0
2010,Pennsylvania12,democrat,democrat,0,0
2010,Pennsylvania13,democrat,democrat,1,0.6279420630085515
2010,Pennsylvania14,democrat,democrat,1,0.9125781426527076
2010,Pennsylvania15,republican,republican,1,0.5857098584092508
2010,Pennsylvania16,republican,republican,1,0.5581501276350326
2010,Pennsylvania17,democrat,democrat,1,0.6367941363083593
2010,Pennsylvania18,republican,republican,1,0.6406684483949431
2010,Pennsylvania19,republican,republican,0,0
2010,Pennsylvania2,democrat,democrat,1,0.8892964514222577
2010,Pennsylvania3,republican,democrat,0,0
2010,Pennsylvania4,democrat,democrat,1,0.5585796548554112
2010,Pennsylvania5,republican,republican,0,0
2010,Pennsylvania6,republican,republican,1,0.5210105263157895
2010,Pennsylvania7,republican,democrat,0,0
2010,Pennsylvania8,republican,democrat,0,0
2010,Pennsylvania9,republican,republican,1,0.6392398588163077
2010,Rhode Island1,democrat,democrat,0,0
2010,Rhode Island2,democrat,democrat,1,0.7002307345491836
2010,South Carolina1,republican,republican,0,0
2010,South Carolina2,republican,republican,1,0.537381436215741
2010,South Carolina3,republican,republican,0,0
2010,South Carolina4,republican,republican,0,0
2010,South Carolina5,republican,democrat,0,0
2010,South Carolina6,democrat,democrat,1,0.674799613359342
2010,South Dakota0,republican,democrat,0,0
2010,Tennessee1,republican,republican,0,0
2010,Tennessee2,republican,republican,0,0
2010,Tennessee3,republican,republican,0,0
2010,Tennessee4,republican,democrat,0,0
2010,Tennessee5,democrat,democrat,1,0.6584386180071262
2010,Tennessee6,republican,democrat,0,0
2010,Tennessee7,republican,republican,1,0.685847368570536
2010,Tennessee8,republican,democrat,0,0
2010,Tennessee9,democrat,democrat,1,0.878540935646671
2010,Texas1,republican,republican,1,0.8757610297183842
2010,Texas10,republican,republican,1,0.5388837016599466
2010,Texas11,republican,republican,1,0.8833078686019863
2010,Texas12,republican,republican,1,0.6759415673813227
2010,Texas13,republican,republican,1,0.7764693707716919
2010,Texas14,republican,republican,1,1.0
2010,Texas15,democrat,democrat,0,0
2010,Texas16,democrat,democrat,1,0.8213995451194849
2010,Texas17,republican,democrat,0,0
2010,Texas18,democrat,democrat,0,0
2010,Texas19,republican,republican,1,0.7243896462334112
2010,Texas2,republican,republican,1,0.8892257533745697
2010,Texas20,democrat,democrat,1,0.7189743300104487
2010,Texas21,republican,republican,1,0.7999704287826516
2010,Texas22,republican,republican,1,0.524267382967362
2010,Texas23,republican,democrat,0,0
2010,Texas24,republican,republican,1,0.5598402927965397
2010,Texas25,democrat,democrat,1,0.6582822970449302
2010,Texas26,republican,republican,1,0.6017122105211237
2010,Texas27,republican,democrat,0,0
2010,Texas28,democrat,democrat,1,0.6870702125292089
2010,Texas29,democrat,democrat,1,0.7464651572185703
2010,Texas3,republican,republican,1,0.597453312478349
2010,Texas30,democrat,democrat,1,0.8248470408283327
2010,Texas31,republican,republican,1,0.6026796748414028
2010,Texas32,republican,republican,1,0.5725124316872631
2010,Texas4,republican,republican,1,0.6879804750884473
2010,Texas5,republican,republican,1,0.8359497282678422
2010,Texas6,republican,republican,1,0.6201680792067916
2010,Texas7,republican,republican,0,0
2010,Texas8,republican,republican,1,0.725616655748272
2010,Texas9,democrat,democrat,1,0.936469914338532
2010,Utah1,republican,republican,1,0.6485491604738914
2010,Utah2,democrat,democrat,1,0.6335060647383909
2010,Utah3,republican,republican,1,0.6561043115877209
2010,Vermont0,democrat,democrat,1,0.8324741490050344
2010,Virginia1,republican,republican,1,0.5657605497762925
2010,Virginia10,republican,republican,1,0.5880151786655423
2010,Virginia11,democrat,democrat,0,0
2010,Virginia2,republican,democrat,0,0
2010,Virginia3,democrat,democrat,1,0.970168386658471
2010,Virginia4,republican,republican,1,0.5951046421599839
2010,Virginia5,republican,democrat,0,0
2010,Virginia6,republican,republican,1,0.6157327972547313
2010,Virginia7,republican,republican,1,0.6272033131276237
2010,Virginia8,democrat,democrat,1,0.6794272951916075
2010,Virginia9,republican,democrat,0,0
2010,Washington1,democrat,democrat,1,0.677583908179236
2010,Washington2,democrat,democrat,1,0.6239213469281166
2010,Washington3,republican,democrat,0,0
2010,Washington4,republican,republican,1,0.6308794594795263
2010,Washington5,republican,republican,1,0.6528065693092401
2010,Washington6,democrat,democrat,1,0.6686456412786621
2010,Washington7,democrat,democrat,1,0.8365294527200681
2010,Washington8,republican,republican,1,0.5278431415770708
2010,Washington9,democrat,democrat,1,0.6544593967517401
2010,West Virginia1,republican,democrat,0,0
2010,West Virginia2,republican,republican,1,0.5706881926180137
2010,West Virginia3,democrat,democrat,1,0.6691926405950072
2010,Wisconsin1,republican,republican,1,0.6397245137867723
2010,Wisconsin2,democrat,democrat,1,0.6933272793950719
2010,Wisconsin3,democrat,democrat,1,0.6318967452300785
2010,Wisconsin4,democrat,democrat,1,0.8762643648767208
2010,Wisconsin5,republican,republican,0,0
2010,Wisconsin6,republican,republican,1,0.6370885305400501
2010,Wisconsin7,republican,democrat,0,0
2010,Wisconsin8,republican,democrat,0,0
2010,Wyoming0,republican,republican,1,0.5258699789642393
2012,Alabama1,republican,republican,1,0.8258393534722711
2012,Alabama2,republican,republican,1,0.5097293496721881
2012,Alabama3,republican,republican,1,0.5942091158227305
2012,Alabama4,republican,republican,1,0.9881747102597793
2012,Alabama5,republican,republican,1,0.5788732394366197
2012,Alabama6,republican,republican,1,0.9805315144915077
2012,Alabama7,democrat,democrat,1,0.7243169920094954
2012,Alaska0,republican,republican,1,0.6895787052509486
2012,Arizona1,democrat,republican,0,0
2012,Arizona2,democrat,republican,0,0
2012,Arizona3,democrat,republican,0,0
2012,Arizona4,republican,democrat,0,0
2012,Arizona5,republican,republican,0,0
2012,Arizona6,republican,republican,0,0
2012,Arizona7,democrat,democrat,0,0
2012,Arizona8,republican,democrat,0,0
2012,Arizona9,democrat,,0,0
2012,Arkansas1,republican,republican,0,0
2012,Arkansas2,republican,republican,1,0.5790364805645666
2012,Arkansas3,republican,republican,1,0.7243507554004183
2012,Arkansas4,republican,democrat,0,0
2012,California1,republican,democrat,0,0
2012,California10,republican,democrat,0,0
2012,California11,democrat,democrat,0,0
2012,California12,democrat,democrat,0,0
2012,California13,democrat,democrat,0,0
2012,California14,democrat,democrat,0,0
2012,California15,democrat,democrat,0,0
2012,California16,democrat,democrat,0,0
2012,California17,democrat,democrat,0,0
2012,California18,democrat,democrat,0,0
2012,California19,democrat,republican,0,0
2012,California2,democrat,republican,0,0
2012,California20,democrat,democrat,0,0
2012,California21,republican,republican,0,0
2012,California22,republican,republican,0,0
2012,California23,republican,democrat,0,0
2012,California24,democrat,republican,0,0
2012,California25,republican,republican,0,0
2012,California26,democrat,republican,0,0
2012,California27,democrat,democrat,0,0
2012,California28,democrat,democrat,0,0
2012,California29,democrat,democrat,0,0
2012,California3,democrat,republican,0,0
2012,California30,democrat,democrat,0,0
2012,California31,republican,democrat,0,0
2012,California32,democrat,democrat,0,0
2012,California33,democrat,democrat,0,0
2012,California34,democrat,democrat,0,0
2012,California35,democrat,democrat,0,0
2012,California36,democrat,democrat,0,0
2012,California37,democrat,democrat,0,0
2012,California38,democrat,democrat,0,0
2012,California39,republican,democrat,0,0
2012,California4,republican,republican,1,0.6126864960276633
2012,California40,democrat,republican,0,0
2012,California41,democrat,republican,0,0
2012,California42,republican,republican,0,0
2012,California43,democrat,democrat,0,0
2012,California44,democrat,republican,0,0
2012,California45,republican,republican,0,0
2012,California46,democrat,republican,0,0
2012,California47,democrat,democrat,0,0
2012,California48,republican,republican,0,0
2012,California49,republican,republican,1,0.627846286054714
2012,California5,democrat,democrat,0,0
2012,California50,republican,republican,0,0
2012,California51,democrat,democrat,0,0
2012,California52,democrat,republican,0,0
2012,California53,democrat,democrat,1,0.6225939831757046
2012,California6,democrat,democrat,0,0
2012,California7,democrat,democrat,0,0
2012,California8,republican,democrat,0,0
2012,California9,democrat,democrat,0,0
2012,Colorado1,democrat,democrat,1,0.6742350217327474
2012,Colorado2,democrat,democrat,1,0.5741331253812241
2012,Colorado3,republican,republican,0,0
2012,Colorado4,republican,republican,1,0.524769003069865
2012,Colorado5,republican,republican,1,0.6575156818709827
2012,Colorado6,republican,republican,1,0.6568140132892976
2012,Colorado7,democrat,democrat,1,0.5344480812105687
2012,Connecticut1,democrat,democrat,1,0.5775046673568162
2012,Connecticut2,democrat,democrat,0,0
2012,Connecticut3,democrat,democrat,1,0.6097316698465066
2012,Connecticut4,democrat,democrat,1,0.5094323132052385
2012,Connecticut5,democrat,democrat,0,0
2012,Delaware0,democrat,democrat,1,0.5678094203562407
2012,Florida1,republican,republican,1,0.8000009366540842
2012,Florida10,republican,republican,0,0
2012,Florida11,republican,democrat,0,0
2012,Florida12,republican,republican,0,0
2012,Florida13,republican,republican,0,0
2012,Florida14,democrat,republican,0,0
2012,Florida15,republican,republican,0,0
2012,Florida16,republican,republican,0,0
2012,Florida17,republican,democrat,0,0
2012,Florida18,democrat,republican,0,0
2012,Florida19,republican,democrat,0,0
2012,Florida2,republican,republican,0,0
2012,Florida20,democrat,democrat,0,0
2012,Florida21,democrat,republican,0,0
2012,Florida22,democrat,republican,0,0
2012,Florida23,democrat,democrat,0,0
2012,Florida24,democrat,republican,0,0
2012,Florida25,republican,republican,0,0
2012,Florida26,democrat,,0,0
2012,Florida27,republican,,0,0
2012,Florida3,republican,democrat,0,0
2012,Florida4,republican,republican,1,0.7721111568368386
2012,Florida5,democrat,republican,0,0
2012,Florida6,republican,republican,0,0
2012,Florida7,republican,republican,1,0.6903110065655288
2012,Florida8,republican,republican,0,0
2012,Florida9,democrat,republican,0,0
2012,Georgia1,republican,republican,1,0.7162882744214172
2012,Georgia10,republican,republican,1,0.6735816009406392
2012,Georgia11,republican,republican,1,1.0
2012,Georgia12,democrat,democrat,1,0.5658549422572018
2012,Georgia13,democrat,democrat,1,0.6943013386781481
2012,Georgia14,republican,,0,0
2012,Georgia2,democrat,democrat,1,0.5144090419934242
2012,Georgia3,republican,republican,1,0.6947849025136332
2012,Georgia4,democrat,democrat,0,0
2012,Georgia5,democrat,democrat,1,0.7371987102883814
2012,Georgia6,republican,republican,1,0.9990518841281368
2012,Georgia7,republican,republican,1,0.6707045611811884
2012,Georgia8,republican,republican,1,0.5269715926571633
2012,Georgia9,republican,republican,0,0
2012,Hawaii1,democrat,democrat,0,0
2012,Hawaii2,democrat,democrat,0,0
2012,Idaho1,republican,republican,0,0
2012,Idaho2,republican,republican,1,0.688313964259427
2012,Illinois1,democrat,democrat,1,0.8035859555497706
2012,Illinois10,democrat,republican,0,0
2012,Illinois11,democrat,republican,0,0
2012,Illinois12,democrat,democrat,0,0
2012,Illinois13,republican,republican,0,0
2012,Illinois14,republican,republican,0,0
2012,Illinois15,republican,republican,0,0
2012,Illinois16,republican,republican,0,0
2012,Illinois17,democrat,republican,0,0
2012,Illinois18,republican,republican,1,0.6911787312926708
2012,Illinois2,democrat,democrat,1,0.805213961616777
2012,Illinois3,democrat,democrat,1,0.6968858588344026
2012,Illinois4,democrat,democrat,1,0.7735842136150235
2012,Illinois5,democrat,democrat,1,0.7062273927070095
2012,Illinois6,republican,republican,1,0.6364500792393027
2012,Illinois7,democrat,democrat,1,0.8150493067680542
2012,Illinois8,democrat,republican,0,0
2012,Illinois9,democrat,democrat,0,0
2012,Indiana1,democrat,democrat,1,0.5856387774222631
2012,Indiana2,republican,democrat,0,0
2012,Indiana3,republican,republican,1,0.6276175499462304
2012,Indiana4,republican,republican,1,0.6856990342127895
